"","P","Q","E"
"1980-11-15",0,1.01703703703704,4.6882
"1980-11-16",0,0.981666666666667,5.9063
"1980-11-17",3.7955,0.9825,5.8522
"1980-11-18",0.5079,0.97287037037037,4.7217
"1980-11-19",17.3253,1.37712962962963,4.2633
"1980-11-20",0,1.04555555555556,5.5931
"1980-11-21",0,0.951574074074074,5.1829
"1980-11-22",0,0.923888888888889,5.1127
"1980-11-23",0,0.904444444444444,4.821
"1980-11-24",0,0.889259259259259,4.9991
"1980-11-25",0,0.867777777777778,5.468
"1980-11-26",0,0.855185185185185,5.5153
"1980-11-27",0,0.828518518518519,4.1178
"1980-11-28",1.1584,0.851944444444444,3.5938
"1980-11-29",0.4606,0.875277777777778,3.7635
"1980-11-30",0.2593,0.887777777777778,5.4666
"1980-12-01",0.3242,0.820277777777778,5.7189
"1980-12-02",1.6409,1.40592592592593,3.1537
"1980-12-03",49.8066,2.58740740740741,4.5884
"1980-12-04",7.837,1.68453703703704,4.7421
"1980-12-05",0.0834,1.27425925925926,5.3858
"1980-12-06",0,1.04240740740741,6.1036
"1980-12-07",0,0.959444444444444,6.0201
"1980-12-08",0,0.919629629629629,5.9696
"1980-12-09",0,0.871481481481482,6.9258
"1980-12-10",0.2087,0.826759259259259,7.6024
"1980-12-11",0,0.776574074074074,6.6134
"1980-12-12",0.7442,0.77537037037037,4.4665
"1980-12-13",8.6755,1.14824074074074,2.7811
"1980-12-14",28.8006,2.13351851851852,4.2151
"1980-12-15",0.22,1.14675925925926,4.3394
"1980-12-16",0.5003,0.990277777777778,2.6147
"1980-12-17",6.0296,1.09925925925926,3.7506
"1980-12-18",3.9432,1.09601851851852,3.6498
"1980-12-19",1.4476,1.04814814814815,5.8177
"1980-12-20",0.0728,0.903888888888889,5.5403
"1980-12-21",0,0.811296296296296,6.8079
"1980-12-22",0,0.756666666666667,6.4511
"1980-12-23",0.6557,0.743518518518518,5.7053
"1980-12-24",0.165,0.762222222222222,6.5817
"1980-12-25",0.0061,0.732685185185185,6.342
"1980-12-26",0.2353,0.718055555555555,6.4024
